class_name,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21
A,0.326801986,0.750362933,9.14E-09,0.387853235,0.725967288,-0.017998198,0.426497996,0.659094274,-0.024165075,0.44017753,0.589298248,-0.032006279,0.450309277,0.532936156,-0.040569052,0.402802557,0.568022847,0.009673293,0.416499853,0.49483645,-0.000858028,0.422207892,0.448242486,-0.010925601,0.425552994,0.408988118,-0.018728439,0.373341024,0.553203106,0.00452802,0.389055014,0.467898786,-0.005043178,0.398840249,0.41428715,-0.021624891,0.40683338,0.366437256,-0.034103718,0.3413679,0.552444756,-0.00571778,0.352962643,0.469516367,-0.019857718,0.362875134,0.419598848,-0.038251553,0.371549547,0.37919715,-0.050483335,0.30588457,0.564282238,-0.018723492,0.312944084,0.50321877,-0.032064132,0.321165621,0.464651465,-0.044110406,0.329701662,0.430968106,-0.053044077
A,0.324052066,0.755092561,4.61E-09,0.384474397,0.727971077,-0.013271351,0.425711334,0.661957741,-0.017936064,0.440067053,0.593141675,-0.024813959,0.448981553,0.539991558,-0.032312576,0.403268635,0.567215323,0.010071143,0.417659849,0.493794262,0.001232365,0.423029482,0.447072387,-0.007150907,0.426027507,0.407678127,-0.013931048,0.3727597,0.551096618,0.003457811,0.389099479,0.466340601,-0.00359079,0.397479951,0.414529055,-0.017401263,0.405245215,0.368418038,-0.028313337,0.341099322,0.550887942,-0.007381833,0.352242947,0.469319433,-0.018827774,0.359117389,0.421423376,-0.034273226,0.366794109,0.381529272,-0.044939902,0.306743383,0.564039588,-0.020664006,0.311768889,0.504291356,-0.032249514,0.318666458,0.464960456,-0.042731058,0.326996922,0.42851913,-0.050380494
A,0.32279706,0.755618453,4.67E-09,0.383580387,0.727401972,-0.012809291,0.425193459,0.662813723,-0.017540881,0.440044045,0.594234586,-0.02460769,0.449647993,0.540831625,-0.032299515,0.402315438,0.56752944,0.010373238,0.417594016,0.494193375,0.001723102,0.423267335,0.447289348,-0.00637717,0.426681459,0.407434702,-0.012923446,0.372159034,0.551017761,0.003403999,0.388901561,0.465600133,-0.003492031,0.397439718,0.413318574,-0.016837556,0.405470133,0.366894782,-0.027424797,0.340732098,0.550722599,-0.007740513,0.352666467,0.468456209,-0.019110397,0.36026141,0.419828534,-0.034043256,0.36866045,0.379518867,-0.044370778,0.30648011,0.564020455,-0.021342203,0.311799765,0.50415498,-0.032821964,0.318923265,0.464425087,-0.042956613,0.327481657,0.427659333,-0.050335821
A,0.322321564,0.757132411,4.74E-09,0.383231968,0.728704691,-0.013196773,0.425050259,0.663312852,-0.017870458,0.439920306,0.594084561,-0.024879143,0.449462622,0.540407062,-0.032472409,0.402499795,0.567447066,0.011333589,0.417638004,0.494352758,0.002885254,0.423146605,0.447387844,-0.005204695,0.426496327,0.407426804,-0.011730752,0.372282743,0.550919414,0.00451787,0.388795495,0.465713918,-0.001999075,0.397163272,0.413532913,-0.015304944,0.405159593,0.367182761,-0.025876822,0.340802163,0.550854743,-0.006642105,0.352553636,0.468578339,-0.017755639,0.36011526,0.420031279,-0.032668367,0.368495882,0.379761279,-0.043004144,0.306593418,0.564429522,-0.02036299,0.311630905,0.504660845,-0.031650331,0.318759382,0.464994013,-0.041747894,0.327405512,0.428095818,-0.04911463
A,0.323273301,0.756948709,4.83E-09,0.383815467,0.728618622,-0.012893227,0.425723732,0.662648261,-0.017331962,0.441312551,0.593459487,-0.024222109,0.45130074,0.540959001,-0.031742975,0.403235018,0.566864252,0.012192983,0.418643206,0.492456079,0.003917111,0.424359918,0.445387363,-0.004119077,0.427568525,0.405407786,-0.010663897,0.372995883,0.551089346,0.005151628,0.38963303,0.464812994,-0.001239829,0.397730887,0.412486643,-0.014774836,0.405199528,0.366294622,-0.025429018,0.341391146,0.551189303,-0.006285181,0.35316819,0.467971057,-0.017484637,0.360331506,0.418893218,-0.033083983,0.368250668,0.378218859,-0.043748662,0.307184577,0.564486325,-0.020221693,0.312389463,0.503667593,-0.031706486,0.319386095,0.463397413,-0.042241435,0.327842355,0.42597878,-0.049856473
A,0.323732674,0.75680095,5.00E-09,0.384716898,0.728108227,-0.011466731,0.426701903,0.661442339,-0.014671016,0.4416565,0.591543078,-0.020426625,0.451123655,0.538868427,-0.026768131,0.403393567,0.567104757,0.013506852,0.418767303,0.49240911,0.005850102,0.424499214,0.445013523,-0.00155706,0.427708834,0.404757947,-0.007555097,0.373528659,0.551457047,0.006370898,0.390288532,0.46572572,0.000499671,0.398539364,0.413398772,-0.012273907,0.406080157,0.367475599,-0.022291791,0.34226197,0.551522672,-0.004983764,0.354442745,0.469175398,-0.015730754,0.361702919,0.420288652,-0.03046738,0.36963591,0.380253196,-0.04043781,0.308369219,0.564447522,-0.01875899,0.313233674,0.505176187,-0.029651139,0.319920629,0.46493426,-0.039576005,0.327976853,0.427589536,-0.046673
A,0.323975027,0.7570014,4.92E-09,0.38508749,0.72789216,-0.010965007,0.427001655,0.661494434,-0.01399486,0.441693664,0.591844499,-0.019649049,0.450064659,0.538830161,-0.025883054,0.403609246,0.566991627,0.01410043,0.418722153,0.492692471,0.006597608,0.424489707,0.44533056,-0.000754744,0.427887678,0.405120224,-0.006769437,0.373856664,0.551386952,0.00669656,0.39001593,0.465586692,0.000948263,0.398203671,0.413030565,-0.011792313,0.405773908,0.366772532,-0.021836167,0.342576474,0.551683009,-0.004899576,0.354314446,0.469263732,-0.015605965,0.36134845,0.420585543,-0.030293023,0.369172424,0.380501688,-0.040253516,0.308677047,0.565130532,-0.018868247,0.313576043,0.50585866,-0.02981084,0.320455432,0.465954781,-0.039695453,0.328733176,0.428984106,-0.046762723
A,0.323426604,0.755988955,4.72E-09,0.384469658,0.72903204,-0.012131211,0.427207172,0.663687229,-0.015426194,0.443128526,0.59392029,-0.02104898,0.452922136,0.540874779,-0.027180381,0.404703557,0.567938805,0.013069274,0.420586199,0.49381417,0.005525154,0.426031172,0.446878135,-0.001637119,0.429004341,0.407058537,-0.007426677,0.37456879,0.551359415,0.006383231,0.391907066,0.465795457,0.000573765,0.40011692,0.413871735,-0.01195484,0.407681376,0.368665606,-0.021741284,0.34326449,0.551099837,-0.004606958,0.355572909,0.468508661,-0.015559627,0.362875968,0.420188785,-0.030219881,0.370959848,0.380789489,-0.03999972,0.309468508,0.563953221,-0.018041614,0.314387798,0.504508615,-0.029297832,0.321347564,0.464496404,-0.039379396,0.329981506,0.427636355,-0.046448208
A,0.324322939,0.755888939,4.91E-09,0.385482043,0.728218138,-0.011376975,0.427815467,0.663011611,-0.014067943,0.443260908,0.593724012,-0.019336084,0.452085078,0.540177107,-0.025142653,0.404939532,0.566667616,0.016136914,0.42041254,0.493243814,0.009508665,0.426338732,0.446400911,0.002548924,0.43012327,0.406321406,-0.003273063,0.375050932,0.550406039,0.009111717,0.391221017,0.46512413,0.004323015,0.399380088,0.413315743,-0.008075209,0.407301903,0.367943138,-0.017909903,0.343844652,0.550480127,-0.002340416,0.355220944,0.468347728,-0.01254688,0.362578541,0.420243263,-0.027276199,0.371201694,0.380483031,-0.037247267,0.310228527,0.563890338,-0.016241368,0.3146514,0.505370259,-0.026993947,0.321847379,0.466288179,-0.036988437,0.33100456,0.430090249,-0.044078499
A,0.325677425,0.756598651,4.86E-09,0.386805922,0.727849483,-0.010927075,0.42876637,0.661799848,-0.01395805,0.443804979,0.592597127,-0.019703789,0.452266335,0.53962636,-0.026076164,0.406081855,0.566184521,0.014746447,0.421097666,0.491990238,0.007434128,0.427044123,0.444950014,0.000101161,0.430707008,0.405091584,-0.005925198,0.375901282,0.550421357,0.00720136,0.391877949,0.464494318,0.001776182,0.400152028,0.41236192,-0.010885294,0.408043504,0.366816372,-0.020929798,0.344340235,0.550721467,-0.004620562,0.355917454,0.467935771,-0.015065846,0.363190323,0.4192487,-0.029773507,0.371493459,0.379421443,-0.039843962,0.310258001,0.564303815,-0.018851485,0.314937383,0.504802525,-0.029763581,0.321992159,0.464586973,-0.039734073,0.330795914,0.427502632,-0.046900447
